site,data_source,measurement_name,times,aqs_flag,explanation
WFMS,campbell,CO,"[2018-10-03 08:50, 2018-10-03 09:05)",AT,calibration
WFMS,campbell,CO,"[2018-10-09 06:26, 2018-10-09 06:32)",AT,calibration
WFMS,campbell,CO,"[2018-10-10 08:45, 2018-10-10 08:52)",AT,calibration
WFMS,campbell,NOy,"[2018-10-01 00:00, 2018-10-03 12:00)",AN,instrument malfunction
WFMS,campbell,NO,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,campbell,NOx,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,campbell,NOy,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,campbell,CO,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,campbell,SO2,"[2018-12-05 10:13, 2018-12-05 11:28)",AT,manual calibration
WFMS,campbell,CO,"[2018-10-15 06:00, 2018-10-21 00:00)",AC,elevator construction
WFMS,campbell,CO,"[2018-10-22 06:00, 2018-10-28 00:00)",AC,elevator construction
WFMS,campbell,CO,"[2018-10-29 06:00, 2018-11-03 15:00)",AC,elevator construction
WFMS,campbell,CO,"[2018-11-05 06:00, 2018-11-10 18:00)",AC,elevator construction
WFMS,campbell,CO,"[2018-11-12 06:00, 2018-11-13 18:00)",AC,elevator construction
WFMS,campbell,CO,"[2018-11-15 12:00, 2018-11-17 18:00)",AC,elevator construction
WFMS,campbell,CO,"[2018-11-20 09:00, 2018-11-22 21:00)",AC,elevator construction
WFMS,campbell,CO,"[2018-11-29 06:00, 2018-11-30 18:00)",AC,elevator construction
WFMS,campbell,NO,"[2018-10-15 06:00, 2018-10-21 00:00)",AC,elevator construction
WFMS,campbell,NO,"[2018-10-22 06:00, 2018-10-28 00:00)",AC,elevator construction
WFMS,campbell,NO,"[2018-10-29 06:00, 2018-11-03 15:00)",AC,elevator construction
WFMS,campbell,NO,"[2018-11-05 06:00, 2018-11-10 18:00)",AC,elevator construction
WFMS,campbell,NO,"[2018-11-12 06:00, 2018-11-13 18:00)",AC,elevator construction
WFMS,campbell,NO,"[2018-11-15 12:00, 2018-11-17 18:00)",AC,elevator construction
WFMS,campbell,NO,"[2018-11-20 09:00, 2018-11-22 21:00)",AC,elevator construction
WFMS,campbell,NO,"[2018-11-29 06:00, 2018-11-30 18:00)",AC,elevator construction
WFMS,campbell,NOx,"[2018-10-15 06:00, 2018-10-21 00:00)",AC,elevator construction
WFMS,campbell,NOx,"[2018-10-22 06:00, 2018-10-28 00:00)",AC,elevator construction
WFMS,campbell,NOx,"[2018-10-29 06:00, 2018-11-03 15:00)",AC,elevator construction
WFMS,campbell,NOx,"[2018-11-05 06:00, 2018-11-10 18:00)",AC,elevator construction
WFMS,campbell,NOx,"[2018-11-12 06:00, 2018-11-13 18:00)",AC,elevator construction
WFMS,campbell,NOx,"[2018-11-15 12:00, 2018-11-17 18:00)",AC,elevator construction
WFMS,campbell,NOx,"[2018-11-20 09:00, 2018-11-22 21:00)",AC,elevator construction
WFMS,campbell,NOx,"[2018-11-29 06:00, 2018-11-30 18:00)",AC,elevator construction
WFMS,campbell,NOy,"[2018-10-15 06:00, 2018-10-21 00:00)",AC,elevator construction
WFMS,campbell,NOy,"[2018-10-22 06:00, 2018-10-28 00:00)",AC,elevator construction
WFMS,campbell,NOy,"[2018-10-29 06:00, 2018-11-03 15:00)",AC,elevator construction
WFMS,campbell,NOy,"[2018-11-05 06:00, 2018-11-10 18:00)",AC,elevator construction
WFMS,campbell,NOy,"[2018-11-12 06:00, 2018-11-13 18:00)",AC,elevator construction
WFMS,campbell,NOy,"[2018-11-15 12:00, 2018-11-17 18:00)",AC,elevator construction
WFMS,campbell,NOy,"[2018-11-20 09:00, 2018-11-22 21:00)",AC,elevator construction
WFMS,campbell,NOy,"[2018-11-29 06:00, 2018-11-30 18:00)",AC,elevator construction
WFMS,campbell,NOy,"[2018-11-30 00:00, 2018-12-02 00:00)",AN,bad zero calibrations
WFMS,campbell,SO2,"[2018-10-15 06:00, 2018-10-21 00:00)",AC,elevator construction
WFMS,campbell,SO2,"[2018-10-22 06:00, 2018-10-28 00:00)",AC,elevator construction
WFMS,campbell,SO2,"[2018-10-29 06:00, 2018-11-03 15:00)",AC,elevator construction
WFMS,campbell,SO2,"[2018-11-05 06:00, 2018-11-10 18:00)",AC,elevator construction
WFMS,campbell,SO2,"[2018-11-12 06:00, 2018-11-13 18:00)",AC,elevator construction
WFMS,campbell,SO2,"[2018-11-15 12:00, 2018-11-17 18:00)",AC,elevator construction
WFMS,campbell,SO2,"[2018-11-20 09:00, 2018-11-22 21:00)",AC,elevator construction
WFMS,campbell,SO2,"[2018-11-29 06:00, 2018-11-30 18:00)",AC,elevator construction
WFMS,ultrafine,Concentration,"[2018-10-15 06:00, 2018-10-21 00:00)",AC,elevator construction
WFMS,ultrafine,Concentration,"[2018-10-22 06:00, 2018-10-28 00:00)",AC,elevator construction
WFMS,ultrafine,Concentration,"[2018-10-29 06:00, 2018-11-03 15:00)",AC,elevator construction
WFMS,ultrafine,Concentration,"[2018-11-05 06:00, 2018-11-10 18:00)",AC,elevator construction
WFMS,ultrafine,Concentration,"[2018-11-12 06:00, 2018-11-13 18:00)",AC,elevator construction
WFMS,ultrafine,Concentration,"[2018-11-15 12:00, 2018-11-17 18:00)",AC,elevator construction
WFMS,ultrafine,Concentration,"[2018-11-20 09:00, 2018-11-22 21:00)",AC,elevator construction
WFMS,ultrafine,Concentration,"[2018-11-29 06:00, 2018-11-30 18:00)",AC,elevator construction
WFMS,aethelometer,concentration_370,"[2018-10-15 06:00, 2018-10-21 00:00)",AC,elevator construction
WFMS,aethelometer,concentration_370,"[2018-10-22 06:00, 2018-10-28 00:00)",AC,elevator construction
WFMS,aethelometer,concentration_370,"[2018-10-29 06:00, 2018-11-03 15:00)",AC,elevator construction
WFMS,aethelometer,concentration_370,"[2018-11-05 06:00, 2018-11-10 18:00)",AC,elevator construction
WFMS,aethelometer,concentration_370,"[2018-11-12 06:00, 2018-11-13 18:00)",AC,elevator construction
WFMS,aethelometer,concentration_370,"[2018-11-15 12:00, 2018-11-17 18:00)",AC,elevator construction
WFMS,aethelometer,concentration_370,"[2018-11-20 09:00, 2018-11-22 21:00)",AC,elevator construction
WFMS,aethelometer,concentration_370,"[2018-11-29 06:00, 2018-11-30 18:00)",AC,elevator construction
WFMS,aethelometer,concentration_880,"[2018-10-15 06:00, 2018-10-21 00:00)",AC,elevator construction
WFMS,aethelometer,concentration_880,"[2018-10-22 06:00, 2018-10-28 00:00)",AC,elevator construction
WFMS,aethelometer,concentration_880,"[2018-10-29 06:00, 2018-11-03 15:00)",AC,elevator construction
WFMS,aethelometer,concentration_880,"[2018-11-05 06:00, 2018-11-10 18:00)",AC,elevator construction
WFMS,aethelometer,concentration_880,"[2018-11-12 06:00, 2018-11-13 18:00)",AC,elevator construction
WFMS,aethelometer,concentration_880,"[2018-11-15 12:00, 2018-11-17 18:00)",AC,elevator construction
WFMS,aethelometer,concentration_880,"[2018-11-20 09:00, 2018-11-22 21:00)",AC,elevator construction
WFMS,aethelometer,concentration_880,"[2018-11-29 06:00, 2018-11-30 18:00)",AC,elevator construction
WFMS,campbell,Ozone,"[2018-10-15 21:30, 2018-10-15 23:45)",AT,manual calibration
WFMS,campbell,NOy,"[2018-09-27 13:00, 2018-10-03 10:00)",AN,unknown error
WFMS,campbell,CO,"[2018-12-27 14:26, 2018-12-27 14:38)",AT,calibration
PSP,envidas,CO,"[2018-10-03 07:08, 2018-10-03 08:00)",AN,instrument reset
PSP,envidas,Dichot(10)MC,"[2018-10-04 12:01, 2018-10-04 14:46)",AT,calibration
PSP,envidas,Dichot(10)RefMC,"[2018-10-04 12:01, 2018-10-04 14:46)",AT,calibration
PSP,envidas,TEOMA(2.5)MC,"[2018-10-04 12:01, 2018-10-04 14:46)",AT,calibration
PSP,envidas,TEOMA(2.5)RefMC,"[2018-10-04 12:01, 2018-10-04 14:46)",AT,calibration
PSP,envidas,TEOMB(crs)MC,"[2018-10-04 12:01, 2018-10-04 14:46)",AT,calibration
PSP,envidas,TEOMB(crs)RefMC,"[2018-10-04 12:01, 2018-10-04 14:46)",AT,calibration
PSP,envidas,CO,"[2018-10-04 16:00, 2018-10-04 20:00)",AM,anomalous jump
PSP,envidas,NO,"[2018-10-17 07:34, 2018-10-17 10:44)",AM,brush hogging
PSP,envidas,NOx,"[2018-10-17 07:34, 2018-10-17 10:44)",AM,brush hogging
PSP,envidas,NOy,"[2018-10-17 07:34, 2018-10-17 10:44)",AM,brush hogging
PSP,envidas,NOy-HNO3,"[2018-10-17 07:34, 2018-10-17 10:44)",AM,brush hogging
PSP,envidas,NO-DEC,"[2018-10-17 07:34, 2018-10-17 10:44)",AM,brush hogging
PSP,envidas,NOy-DEC,"[2018-10-17 07:34, 2018-10-17 10:44)",AM,brush hogging
PSP,envidas,TEOMB(crs)MC,"[2018-10-17 07:34, 2018-10-17 10:44)",AM,brush hogging
PSP,envidas,Concentration,"[2018-10-17 07:34, 2018-10-17 10:44)",AM,brush hogging
PSP,envidas,Dichot(10)MC,"[2018-10-19 12:55, 2018-10-30 09:10)",BJ,filter not reinstalled after audit
PSP,envidas,Dichot(10)RefMC,"[2018-10-19 12:55, 2018-10-30 09:10)",BJ,filter not reinstalled after audit
PSP,envidas,TEOMA(2.5)MC,"[2018-10-19 12:55, 2018-10-30 09:10)",BJ,filter not reinstalled after audit
